,1,2,3,4,5,6,7,8,9,10,11,12
73,2.666666667,1.352941176,2.057823129,3.711899791,3.81544029,4.157949791,4.628787879,5.810606061,6.003154574,5.823774765,5.719435737,4.549079755
74,1.307692308,1.462585034,1.894117647,2.029895366,3.74108818,5.208282582,4.914831131,5.194986072,6.450056117,5.795918367,5.141148325,6.385370205
75,2,1.813229572,1.868632708,3.848888889,5.190176322,4.295970696,4.837245696,4.50308642,4.330044843,4.190315315,5.811802233,3.431444241
76,1.764705882,1.996941896,2.214285714,3.423376623,,,,,,,,
77,1.857142857,1.575757576,2.181818182,2.055299539,2.978378378,3.094017094,3.71875,4.563492063,4.671974522,5.253691275,3.761154856,4.980952381
78,2,1.222222222,1.230769231,1.25,2.602941176,1.632286996,2.305856833,3.188405797,3.768617021,4.952554745,3.606694561,3.689119171
79,1.95,1.913043478,,3.130102041,4.03030303,4.652052239,5.026047565,5.428191489,4.314401623,5.346412556,4.996434938,6.338983051
80,2.166666667,2.111111111,2.108504399,2.446428571,3.020648968,2.765517241,3.330995792,4.085769981,4.343065693,4.8,3.821656051,4.182724252
81,2.555555556,1.630769231,2.222222222,,3.703853955,3.941896024,3.857692308,5.108108108,6.442367601,4.776595745,4.204334365,4.80887372
82,1.801369863,2.382165605,2.439703154,3.060961313,4.012987013,3.649239544,4.496396396,4.525101764,5.7,5.407407407,5.744416873,5.499401198
83,,1.142857143,1.9,1.960784314,2.281690141,2.812889813,3.62815405,4.136842105,5.493647913,4.248671626,4.084337349,4.520474138
84,1.657142857,1.666666667,1.644230769,1.915343915,2.288372093,3.14266118,3.949910555,4.109530583,4.672897196,4.977459016,4.075334143,4.080932785
85,2.416666667,2.264150943,2.408163265,2.410434783,2.456666667,2.856562923,3.259597806,3.826007326,3.415789474,3.994824017,3.618715084,4.897260274
87,,1.678571429,,2.082608696,3.210526316,3.179069767,3.896464646,3.838046272,4.457735247,3.926540284,4.067567568,4.597938144
