id,subject,session,subses,age_months,speaker,canon,form,gloss,relation,rm,position,preference,request,intent,repair,interact,report,pcg_utts,chi_utts,PtoC,mean_PtoC,sd_PtoC,sd1_include,sd2_include,low_PtoC,logPtoC,mean_logPtoC,sd_logPtoC,sd1_loginclude,sd2_loginclude,low_logPtoC,ses_gest
10240800765,24,8,248,41.9,CHI,canonical,pug,invest,add,NA,1,NA,3,1,NA,NA,NA,1564,1089,1.436179981634527,1.3155705697468587,0.5523594643704661,TRUE,TRUE,FALSE,0.3619867981722959,0.16317573674547856,0.5317601102691596,TRUE,TRUE,FALSE,10
10240801053,24,8,248,41.9,CHI,non-canonical,shrug,disinvest_0,rf,NA,1,NA,2,2,NA,NA,NA,1564,1089,1.436179981634527,1.3155705697468587,0.5523594643704661,TRUE,TRUE,FALSE,0.3619867981722959,0.16317573674547856,0.5317601102691596,TRUE,TRUE,FALSE,10
10240801609,24,8,248,41.9,CHI,non-canonical,pug+beat,invest,add,NA,3,NA,NA,2,NA,NA,NA,1564,1089,1.436179981634527,1.3155705697468587,0.5523594643704661,TRUE,TRUE,FALSE,0.3619867981722959,0.16317573674547856,0.5317601102691596,TRUE,TRUE,FALSE,10
10240802306,24,8,248,41.9,CHI,NA,point,disalign,rf,NA,2,2,NA,3,NA,NA,NA,1564,1089,1.436179981634527,1.3155705697468587,0.5523594643704661,TRUE,TRUE,FALSE,0.3619867981722959,0.16317573674547856,0.5317601102691596,TRUE,TRUE,FALSE,10
10240802354,24,8,248,41.9,CHI,non-canonical,shrug,invest,add,NA,2,1,2,2,NA,NA,NA,1564,1089,1.436179981634527,1.3155705697468587,0.5523594643704661,TRUE,TRUE,FALSE,0.3619867981722959,0.16317573674547856,0.5317601102691596,TRUE,TRUE,FALSE,10
10240802358,24,8,248,41.9,CHI,non-canonical,shrug+pug,invest,rf,NA,1,NA,NA,2,NA,NA,NA,1564,1089,1.436179981634527,1.3155705697468587,0.5523594643704661,TRUE,TRUE,FALSE,0.3619867981722959,0.16317573674547856,0.5317601102691596,TRUE,TRUE,FALSE,10
10240802486,24,8,248,41.9,CHI,non-canonical,shrug,invest,add,NA,2,2,NA,3,NA,NA,NA,1564,1089,1.436179981634527,1.3155705697468587,0.5523594643704661,TRUE,TRUE,FALSE,0.3619867981722959,0.16317573674547856,0.5317601102691596,TRUE,TRUE,FALSE,10
10240802488,24,8,248,41.9,CHI,non-canonical,shrug,invest,add,NA,2,1,1,3,NA,NA,NA,1564,1089,1.436179981634527,1.3155705697468587,0.5523594643704661,TRUE,TRUE,FALSE,0.3619867981722959,0.16317573674547856,0.5317601102691596,TRUE,TRUE,FALSE,10
10240802528,24,8,248,41.9,CHI,non-canonical,shrug,invest,add,NA,1,NA,2,3,NA,NA,NA,1564,1089,1.436179981634527,1.3155705697468587,0.5523594643704661,TRUE,TRUE,FALSE,0.3619867981722959,0.16317573674547856,0.5317601102691596,TRUE,TRUE,FALSE,10
10240900332,24,9,249,46.68,CHI,non-canonical,pug,invest,add,NA,2,1,NA,1,NA,NA,NA,1427,1042,1.3694817658349328,1.5252076458741353,1.378267650588973,TRUE,TRUE,FALSE,0.3144323951635241,0.0799158402284643,0.971772533281204,TRUE,TRUE,FALSE,8
10240901097,24,9,249,46.68,CHI,non-canonical,pug,disalign,rf,NA,2,2,3,1,NA,NA,NA,1427,1042,1.3694817658349328,1.5252076458741353,1.378267650588973,TRUE,TRUE,FALSE,0.3144323951635241,0.0799158402284643,0.971772533281204,TRUE,TRUE,FALSE,8
10240901232,24,9,249,46.68,CHI,canonical,shrug+pug,disinvest_0,rf,NA,1,NA,NA,1,NA,1,NA,1427,1042,1.3694817658349328,1.5252076458741353,1.378267650588973,TRUE,TRUE,FALSE,0.3144323951635241,0.0799158402284643,0.971772533281204,TRUE,TRUE,FALSE,8
10240901242,24,9,249,46.68,CHI,non-canonical,shrug,disinvest_0,sub,NA,2,3,1,1,NA,NA,NA,1427,1042,1.3694817658349328,1.5252076458741353,1.378267650588973,TRUE,TRUE,FALSE,0.3144323951635241,0.0799158402284643,0.971772533281204,TRUE,TRUE,FALSE,8
10240901482,24,9,249,46.68,CHI,canonical,pug,invest,add,NA,2,2,NA,1,NA,NA,NA,1427,1042,1.3694817658349328,1.5252076458741353,1.378267650588973,TRUE,TRUE,FALSE,0.3144323951635241,0.0799158402284643,0.971772533281204,TRUE,TRUE,FALSE,8
10240901746,24,9,249,46.68,CHI,non-canonical,pug,disinvest_1,rf,NA,9,NA,NA,NA,NA,NA,NA,1427,1042,1.3694817658349328,1.5252076458741353,1.378267650588973,TRUE,TRUE,FALSE,0.3144323951635241,0.0799158402284643,0.971772533281204,TRUE,TRUE,FALSE,8
10240901992,24,9,249,46.68,CHI,non-canonical,pug,disinvest_0,rf,l,2,3,2,2,NA,NA,NA,1427,1042,1.3694817658349328,1.5252076458741353,1.378267650588973,TRUE,TRUE,FALSE,0.3144323951635241,0.0799158402284643,0.971772533281204,TRUE,TRUE,FALSE,8
10241000087,24,10,2410,50.45,CHI,non-canonical,pug,disalign,rf,NA,2,2,3,1,NA,NA,NA,1412,924,1.5281385281385282,1.2196342244446503,0.7478601883736877,TRUE,TRUE,FALSE,0.4240503464115033,-0.10169429980060705,0.9975354355478108,TRUE,TRUE,FALSE,6
10241000259,24,10,2410,50.45,CHI,non-canonical,pug,disinvest_0,rf,lp,1,NA,2,1,NA,NA,NA,1412,924,1.5281385281385282,1.2196342244446503,0.7478601883736877,TRUE,TRUE,FALSE,0.4240503464115033,-0.10169429980060705,0.9975354355478108,TRUE,TRUE,FALSE,6
10241000752,24,10,2410,50.45,CHI,non-canonical,shrug,disinvest_0,sub,NA,2,3,2,2,NA,NA,NA,1412,924,1.5281385281385282,1.2196342244446503,0.7478601883736877,TRUE,TRUE,FALSE,0.4240503464115033,-0.10169429980060705,0.9975354355478108,TRUE,TRUE,FALSE,6
10241000827,24,10,2410,50.45,CHI,non-canonical,pug+shake,unclear,NA,NA,0,NA,NA,NA,NA,NA,NA,1412,924,1.5281385281385282,1.2196342244446503,0.7478601883736877,TRUE,TRUE,FALSE,0.4240503464115033,-0.10169429980060705,0.9975354355478108,TRUE,TRUE,FALSE,6
10241001376,24,10,2410,50.45,CHI,non-canonical,shrug,disinvest_0,sub,NA,2,3,2,2,NA,NA,NA,1412,924,1.5281385281385282,1.2196342244446503,0.7478601883736877,TRUE,TRUE,FALSE,0.4240503464115033,-0.10169429980060705,0.9975354355478108,TRUE,TRUE,FALSE,6
10241001401,24,10,2410,50.45,CHI,non-canonical,shrug,disinvest_0,sub,NA,2,3,2,2,NA,NA,NA,1412,924,1.5281385281385282,1.2196342244446503,0.7478601883736877,TRUE,TRUE,FALSE,0.4240503464115033,-0.10169429980060705,0.9975354355478108,TRUE,TRUE,FALSE,6
10241101388,24,11,2411,55.35,CHI,non-canonical,shrug,disinvest_0,rf,p,2,3,2,2,NA,NA,NA,1045,617,1.693679092382496,1.2656012267188674,0.9821963318823027,TRUE,TRUE,FALSE,0.5269031404935236,-0.10041599105410166,1.1763644779399764,TRUE,TRUE,FALSE,3
10241101575,24,11,2411,55.35,CHI,canonical,pug,disinvest_0,sub,NA,2,3,2,1,NA,NA,NA,1045,617,1.693679092382496,1.2656012267188674,0.9821963318823027,TRUE,TRUE,FALSE,0.5269031404935236,-0.10041599105410166,1.1763644779399764,TRUE,TRUE,FALSE,3
10241101607,24,11,2411,55.35,CHI,NA,point,align,rf,lp,1,NA,1,2,NA,NA,NA,1045,617,1.693679092382496,1.2656012267188674,0.9821963318823027,TRUE,TRUE,FALSE,0.5269031404935236,-0.10041599105410166,1.1763644779399764,TRUE,TRUE,FALSE,3
10241200102,24,12,2412,59,CHI,non-canonical,pug,invest,rf,NA,1,NA,NA,2,NA,NA,NA,1143,786,1.4541984732824427,1.1625571338713587,0.8748234652163147,TRUE,TRUE,FALSE,0.37445487136560407,-0.32886512023167336,1.3160837815838582,TRUE,TRUE,FALSE,12
10241200173,24,12,2412,59,CHI,canonical,pug,disalign,rf,NA,2,2,3,1,NA,NA,NA,1143,786,1.4541984732824427,1.1625571338713587,0.8748234652163147,TRUE,TRUE,FALSE,0.37445487136560407,-0.32886512023167336,1.3160837815838582,TRUE,TRUE,FALSE,12
10241200235,24,12,2412,59,CHI,non-canonical,shrug,disinvest_0,sub,NA,2,3,2,2,NA,NA,NA,1143,786,1.4541984732824427,1.1625571338713587,0.8748234652163147,TRUE,TRUE,FALSE,0.37445487136560407,-0.32886512023167336,1.3160837815838582,TRUE,TRUE,FALSE,12
10241200684,24,12,2412,59,CHI,non-canonical,pug,invest,rf,NA,3,NA,NA,1,NA,1,NA,1143,786,1.4541984732824427,1.1625571338713587,0.8748234652163147,TRUE,TRUE,FALSE,0.37445487136560407,-0.32886512023167336,1.3160837815838582,TRUE,TRUE,FALSE,12
10241201198,24,12,2412,59,CHI,canonical,shrug+pug,disinvest_0,sub,NA,2,3,2,2,NA,NA,NA,1143,786,1.4541984732824427,1.1625571338713587,0.8748234652163147,TRUE,TRUE,FALSE,0.37445487136560407,-0.32886512023167336,1.3160837815838582,TRUE,TRUE,FALSE,12
10241201238,24,12,2412,59,CHI,canonical,pug,disinvest_0,rf,l,2,3,2,1,NA,NA,NA,1143,786,1.4541984732824427,1.1625571338713587,0.8748234652163147,TRUE,TRUE,FALSE,0.37445487136560407,-0.32886512023167336,1.3160837815838582,TRUE,TRUE,FALSE,12
10241201434,24,12,2412,59,CHI,non-canonical,shrug,disinvest_0,sub,NA,2,3,2,2,NA,NA,NA,1143,786,1.4541984732824427,1.1625571338713587,0.8748234652163147,TRUE,TRUE,FALSE,0.37445487136560407,-0.32886512023167336,1.3160837815838582,TRUE,TRUE,FALSE,12
10241201579,24,12,2412,59,CHI,non-canonical,shrug+pug,disinvest_0,sub,NA,2,3,2,1,NA,NA,NA,1143,786,1.4541984732824427,1.1625571338713587,0.8748234652163147,TRUE,TRUE,FALSE,0.37445487136560407,-0.32886512023167336,1.3160837815838582,TRUE,TRUE,FALSE,12
10241201910,24,12,2412,59,CHI,canonical,shrug+pug,disinvest_0,sub,NA,2,3,2,2,NA,NA,NA,1143,786,1.4541984732824427,1.1625571338713587,0.8748234652163147,TRUE,TRUE,FALSE,0.37445487136560407,-0.32886512023167336,1.3160837815838582,TRUE,TRUE,FALSE,12
10290100396,29,1,291,14.61,CHI,canonical,pug,disinvest_0,sub,NA,2,3,1,1,NA,NA,NA,1269,108,11.75,13.82135735721812,8.136144509893027,TRUE,TRUE,FALSE,2.463853240590168,2.454410225662334,0.6171732145090959,TRUE,TRUE,FALSE,7
10290100422,29,1,291,14.61,CHI,canonical,pug,disinvest_0,sub,NA,2,3,2,2,NA,NA,NA,1269,108,11.75,13.82135735721812,8.136144509893027,TRUE,TRUE,FALSE,2.463853240590168,2.454410225662334,0.6171732145090959,TRUE,TRUE,FALSE,7
10290100768,29,1,291,14.61,CHI,canonical,pug,disinvest_0,sub,NA,2,3,2,2,NA,NA,NA,1269,108,11.75,13.82135735721812,8.136144509893027,TRUE,TRUE,FALSE,2.463853240590168,2.454410225662334,0.6171732145090959,TRUE,TRUE,FALSE,7
10290101365,29,1,291,14.61,CHI,canonical,pug,disinvest_0,sub,NA,2,3,2,2,NA,NA,NA,1269,108,11.75,13.82135735721812,8.136144509893027,TRUE,TRUE,FALSE,2.463853240590168,2.454410225662334,0.6171732145090959,TRUE,TRUE,FALSE,7
10290101385,29,1,291,14.61,CHI,canonical,pug,disinvest_0,sub,NA,2,3,2,2,NA,NA,NA,1269,108,11.75,13.82135735721812,8.136144509893027,TRUE,TRUE,FALSE,2.463853240590168,2.454410225662334,0.6171732145090959,TRUE,TRUE,FALSE,7
10290101388,29,1,291,14.61,CHI,canonical,pug,invest,rf,NA,1,NA,NA,1,NA,1,NA,1269,108,11.75,13.82135735721812,8.136144509893027,TRUE,TRUE,FALSE,2.463853240590168,2.454410225662334,0.6171732145090959,TRUE,TRUE,FALSE,7
10290101391,29,1,291,14.61,CHI,canonical,pug,disinvest_0,sub,NA,2,3,2,2,NA,NA,NA,1269,108,11.75,13.82135735721812,8.136144509893027,TRUE,TRUE,FALSE,2.463853240590168,2.454410225662334,0.6171732145090959,TRUE,TRUE,FALSE,7
10290200228,29,2,292,17.94,CHI,canonical,pug,unclear,NA,NA,0,NA,NA,NA,NA,NA,NA,1160,377,3.076923076923077,4.952690813677393,2.749176023157577,TRUE,TRUE,FALSE,1.1239300966523995,1.4644247632263987,0.5310197465841973,TRUE,TRUE,FALSE,11
10290200260,29,2,292,17.94,CHI,canonical,shrug+pug,disinvest_0,sub,NA,2,3,2,1,NA,NA,NA,1160,377,3.076923076923077,4.952690813677393,2.749176023157577,TRUE,TRUE,FALSE,1.1239300966523995,1.4644247632263987,0.5310197465841973,TRUE,TRUE,FALSE,11
10290200345,29,2,292,17.94,CHI,canonical,pug,disinvest_0,sub,NA,2,3,2,1,NA,NA,NA,1160,377,3.076923076923077,4.952690813677393,2.749176023157577,TRUE,TRUE,FALSE,1.1239300966523995,1.4644247632263987,0.5310197465841973,TRUE,TRUE,FALSE,11
10290200391,29,2,292,17.94,CHI,canonical,pug,disinvest_0,sub,NA,2,3,2,2,NA,NA,NA,1160,377,3.076923076923077,4.952690813677393,2.749176023157577,TRUE,TRUE,FALSE,1.1239300966523995,1.4644247632263987,0.5310197465841973,TRUE,TRUE,FALSE,11
10290200409,29,2,292,17.94,CHI,canonical,pug,disinvest_2,rf,NA,1,NA,NA,1,NA,NA,NA,1160,377,3.076923076923077,4.952690813677393,2.749176023157577,TRUE,TRUE,FALSE,1.1239300966523995,1.4644247632263987,0.5310197465841973,TRUE,TRUE,FALSE,11
10290200572,29,2,292,17.94,CHI,canonical,shrug+pug,unclear,NA,NA,0,NA,NA,NA,NA,NA,NA,1160,377,3.076923076923077,4.952690813677393,2.749176023157577,TRUE,TRUE,FALSE,1.1239300966523995,1.4644247632263987,0.5310197465841973,TRUE,TRUE,FALSE,11
10290200644,29,2,292,17.94,CHI,canonical,pug,disinvest_2,sub,NA,3,NA,NA,1,NA,NA,NA,1160,377,3.076923076923077,4.952690813677393,2.749176023157577,TRUE,TRUE,FALSE,1.1239300966523995,1.4644247632263987,0.5310197465841973,TRUE,TRUE,FALSE,11
10290200645,29,2,292,17.94,CHI,canonical,pug,disinvest_2,rf,NA,1,NA,NA,1,NA,NA,NA,1160,377,3.076923076923077,4.952690813677393,2.749176023157577,TRUE,TRUE,FALSE,1.1239300966523995,1.4644247632263987,0.5310197465841973,TRUE,TRUE,FALSE,11
10290200675,29,2,292,17.94,CHI,canonical,pug,disinvest_2,sub,NA,2,1,1,1,NA,NA,NA,1160,377,3.076923076923077,4.952690813677393,2.749176023157577,TRUE,TRUE,FALSE,1.1239300966523995,1.4644247632263987,0.5310197465841973,TRUE,TRUE,FALSE,11
